timestamp,roll,pitch,yaw
1582297547367113,2.02479,-0.105998,-2.53458
1582297547388255,2.03765,-0.142246,-2.53353
1582297547406450,2.05126,-0.17679,-2.53432
1582297547428903,2.05916,-0.207312,-2.53363
1582297547448031,2.05946,-0.234275,-2.53237
1582297547466482,2.05579,-0.256276,-2.52914
1582297547487756,2.04863,-0.275476,-2.52427
1582297547508692,2.03872,-0.296062,-2.51891
1582297547526175,2.03486,-0.315957,-2.51328
1582297547548593,2.0354,-0.333025,-2.50688
1582297547568539,2.04112,-0.346452,-2.49973
1582297547585484,2.0462,-0.355057,-2.49163
1582297547606577,2.04715,-0.361043,-2.48132
1582297547629417,2.04787,-0.367773,-2.46774
1582297547646327,2.05125,-0.376134,-2.45401
1582297547665724,2.05502,-0.383577,-2.44128
1582297547683934,2.05363,-0.3895,-2.42873
1582297547706162,2.04795,-0.393583,-2.41513
1582297547725579,2.03976,-0.39731,-2.4009
1582297547743546,2.03107,-0.400117,-2.38682
1582297547773589,2.02422,-0.402036,-2.37175
1582297547785950,2.02157,-0.403361,-2.35737
1582297547803448,2.01811,-0.404809,-2.34318
1582297547826854,2.01334,-0.408221,-2.32802
1582297547852988,2.00772,-0.412782,-2.31211
1582297547863789,2.00593,-0.418023,-2.2952
1582297547885927,2.00507,-0.424038,-2.27581
1582297547906734,2.00214,-0.428859,-2.25417
1582297547928769,1.99772,-0.432543,-2.22972
1582297547945529,1.99328,-0.434998,-2.20305
1582297547966668,1.98941,-0.433258,-2.17542
1582297547988939,1.98308,-0.425789,-2.14851
1582297548005365,1.97497,-0.413976,-2.12273
1582297548026606,1.96866,-0.401279,-2.0997
1582297548050458,1.96123,-0.385706,-2.07868
1582297548065449,1.95239,-0.365907,-2.05898
1582297548086144,1.94396,-0.343475,-2.04208
1582297548102171,1.93467,-0.321969,-2.02833
1582297548125050,1.92042,-0.300164,-2.0143
1582297548146187,1.90563,-0.278088,-2.0006
1582297548161952,1.8953,-0.254952,-1.98882
1582297548184930,1.89024,-0.232787,-1.97841
1582297548207884,1.88888,-0.212398,-1.96933
1582297548221835,1.88527,-0.193878,-1.96096
1582297548244909,1.88622,-0.177959,-1.95341
1582297548267848,1.88821,-0.161753,-1.94475
1582297548281802,1.88953,-0.144881,-1.93712
1582297548305559,1.89396,-0.127535,-1.93064
1582297548327786,1.90124,-0.111346,-1.9244
1582297548349471,1.90926,-0.0950066,-1.91754
1582297548365401,1.91689,-0.0798705,-1.91195
1582297548387343,1.92461,-0.0651255,-1.90781
1582297548410344,1.93224,-0.0498733,-1.90508
1582297548425290,1.93991,-0.0353198,-1.902
1582297548448177,1.94606,-0.0224813,-1.89777
1582297548469129,1.94891,-0.0104909,-1.89426
1582297548485079,1.95233,0.00125462,-1.89113
1582297548508017,1.9581,0.0129907,-1.88866
1582297548529165,1.95784,0.024267,-1.88738
1582297548545244,1.95181,0.034087,-1.88584
1582297548567863,1.94399,0.0416331,-1.88338
1582297548588995,1.93613,0.048472,-1.88106
1582297548605762,1.92963,0.050965,-1.88013
1582297548627701,1.93384,0.0457556,-1.8796
1582297548648850,1.93904,0.0360496,-1.87873
1582297548665595,1.94438,0.0217351,-1.87982
1582297548687541,1.95319,0.000713289,-1.88491
1582297548708667,1.96974,-0.0261771,-1.89007
1582297548725443,1.9913,-0.0531457,-1.89397
1582297548747848,2.01671,-0.0768651,-1.89642
1582297548768366,2.0397,-0.0985735,-1.89923
1582297548785291,2.05778,-0.118948,-1.9032
1582297548807446,2.07798,-0.137068,-1.90534
1582297548829253,2.10375,-0.15168,-1.90351
1582297548845268,2.13349,-0.159184,-1.90343
1582297548868067,2.15068,-0.170023,-1.90645
1582297548889201,2.16263,-0.183246,-1.90495
1582297548904963,2.19242,-0.18879,-1.90411
1582297548927894,2.22284,-0.196128,-1.90488
1582297548949245,2.23901,-0.201422,-1.90305
1582297548964863,2.24701,-0.202075,-1.89664
1582297548988016,2.24923,-0.199453,-1.88852
1582297549008725,2.25629,-0.194208,-1.87932
1582297549024689,2.26143,-0.186122,-1.86708
1582297549047588,2.26185,-0.174557,-1.8574
1582297549068630,2.26349,-0.168274,-1.84954
1582297549084640,2.25884,-0.165553,-1.84256
1582297549107535,2.24441,-0.159652,-1.83851
1582297549130350,2.23284,-0.151672,-1.83577
1582297549144312,2.22501,-0.142252,-1.83657
1582297549167404,2.21034,-0.13792,-1.83767
1582297549190191,2.2034,-0.135944,-1.83858
1582297549204341,2.18824,-0.137533,-1.83913
1582297549228090,2.18742,-0.136352,-1.84187
1582297549250031,2.18213,-0.139099,-1.84164
1582297549271147,2.17821,-0.142082,-1.83805
1582297549294924,2.16924,-0.152169,-1.84028
1582297549310045,2.16084,-0.166085,-1.8463
1582297549330815,2.1628,-0.176183,-1.85328
1582297549347897,2.16751,-0.185685,-1.86011
1582297549369716,2.17154,-0.200249,-1.87073
1582297549391652,2.17331,-0.221717,-1.88406
1582297549407775,2.17535,-0.243787,-1.89517
1582297549437531,2.17861,-0.264876,-1.90499
1582297549451502,2.18269,-0.28675,-1.9158
1582297549467450,2.17566,-0.310886,-1.93031
1582297549490513,2.16681,-0.336461,-1.94949
1582297549511618,2.18275,-0.360285,-1.96917
1582297549527290,2.20404,-0.391479,-1.98592
1582297549550344,2.21256,-0.426163,-2.00198
1582297549571178,2.20709,-0.460653,-2.01636
1582297549588127,2.21238,-0.494954,-2.02858
1582297549610069,2.23379,-0.532501,-2.03844
1582297549631011,2.25385,-0.568325,-2.04461
1582297549647966,2.27617,-0.602556,-2.04766
1582297549669908,2.30522,-0.635243,-2.04912
1582297549698839,2.33669,-0.664398,-2.04765
1582297549713840,2.36208,-0.689872,-2.04324
1582297549729772,2.38132,-0.712279,-2.03613
1582297549750745,2.39934,-0.731868,-2.0274
1582297549767854,2.41476,-0.747805,-2.01637
1582297549790584,2.42818,-0.758602,-2.0054
1582297549811527,2.43876,-0.764751,-1.99217
1582297549827744,2.44418,-0.763886,-1.97399
1582297549850424,2.44275,-0.755611,-1.95179
1582297549871369,2.43594,-0.741663,-1.9297
1582297549887327,2.42287,-0.7222,-1.90832
1582297549910272,2.41385,-0.694007,-1.88748
1582297549931263,2.4056,-0.661079,-1.86915
1582297549947165,2.39271,-0.621253,-1.8537
1582297549970107,2.37955,-0.576423,-1.84017
1582297549993044,2.36921,-0.529377,-1.82854
1582297550007007,2.35223,-0.480621,-1.81952
1582297550029943,2.33533,-0.430304,-1.81068
1582297550051171,2.32108,-0.376812,-1.80157
1582297550066848,2.30072,-0.323971,-1.79417
1582297550089790,2.2779,-0.273597,-1.79355
1582297550112786,2.24921,-0.229058,-1.80001
1582297550126694,2.22934,-0.194462,-1.81505
1582297550150630,2.21104,-0.174144,-1.83649
1582297550172566,2.20006,-0.161738,-1.8591
1582297550187523,2.18826,-0.161874,-1.88369
1582297550210470,2.18494,-0.168622,-1.9049
1582297550232409,2.18679,-0.179626,-1.92202
1582297550253590,2.19136,-0.193647,-1.93546
1582297550270455,2.19923,-0.20539,-1.94826
1582297550292359,2.20904,-0.216869,-1.9619
1582297550314190,2.22582,-0.229096,-1.97723
1582297550330184,2.24489,-0.241164,-1.99352
1582297550353080,2.26813,-0.250538,-2.00622
1582297550374208,2.286,-0.258432,-2.01643
1582297550390227,2.29917,-0.264357,-2.02538
1582297550412994,2.30393,-0.267238,-2.03626
1582297550434072,2.31665,-0.268006,-2.05155
1582297550449986,2.33527,-0.271737,-2.06378
1582297550473091,2.35632,-0.273682,-2.0718
1582297550494201,2.37227,-0.275636,-2.079
1582297550510658,2.38737,-0.278926,-2.08672
1582297550532604,2.40749,-0.280518,-2.09246
1582297550553573,2.42859,-0.280894,-2.09666
1582297550570498,2.45154,-0.282155,-2.09739
1582297550593701,2.47682,-0.282925,-2.09404
1582297550614468,2.49239,-0.282457,-2.08708
1582297550630338,2.48831,-0.280315,-2.07667
1582297550652289,2.46629,-0.280183,-2.06524
1582297550674244,2.43899,-0.279189,-2.05257
1582297550690241,2.41596,-0.276853,-2.03998
1582297550713124,2.40243,-0.275789,-2.0305
1582297550734281,2.38974,-0.275141,-2.02399
1582297550750021,2.37215,-0.271741,-2.0176
1582297550772957,2.35553,-0.269197,-2.01274
1582297550793965,2.34552,-0.271507,-2.00975
1582297550809865,2.34616,-0.274152,-2.00578
1582297550832859,2.35069,-0.275491,-2.00126
1582297550854111,2.34526,-0.279536,-1.998
1582297550869707,2.34024,-0.284355,-1.99673
1582297550892917,2.34099,-0.28942,-1.99931
1582297550913636,2.34955,-0.294047,-2.00342
1582297550929933,2.35716,-0.299868,-2.00929
1582297550952738,2.36397,-0.305147,-2.01505
1582297550975421,2.37201,-0.307948,-2.02237
1582297550996584,2.38548,-0.30921,-2.02994
1582297551012475,2.39879,-0.309893,-2.03649
1582297551035265,2.40791,-0.310422,-2.04261
1582297551056333,2.40742,-0.310691,-2.05042
1582297551072326,2.40498,-0.31143,-2.05589
1582297551103075,2.40405,-0.309979,-2.06062
1582297551110057,2.40266,-0.309143,-2.0678
1582297551132993,2.39775,-0.311582,-2.07424
1582297551154947,2.38639,-0.315505,-2.08105
1582297551176025,2.38067,-0.320609,-2.08816
1582297551192844,2.38524,-0.326247,-2.09485
1582297551214962,2.401,-0.332272,-2.09912
1582297551236819,2.42097,-0.340749,-2.10182
1582297551252993,2.44406,-0.352534,-2.10395
1582297551275612,2.46856,-0.363248,-2.10289
1582297551280809,2.49582,-0.371488,-2.0973
1582297551303536,2.5235,-0.377215,-2.08972
1582297551318507,2.54997,-0.386675,-2.07726
1582297551340964,2.58214,-0.397557,-2.05356
1582297551358391,2.60994,-0.407087,-2.01031
1582297551378538,2.60227,-0.408132,-1.95958
1582297551400289,2.56051,-0.410389,-1.91211
1582297551418470,2.55599,-0.400082,-1.82382
1582297551438599,2.53769,-0.377574,-1.70939
1582297551461197,2.51118,-0.339212,-1.58753
1582297551478070,2.48291,-0.268133,-1.44877
1582297551498060,2.45914,-0.178419,-1.31354
1582297551521163,2.43184,-0.073496,-1.18581
1582297551538907,2.43881,0.047062,-1.06108
1582297551558059,2.45173,0.173121,-0.933977
1582297551581013,2.47446,0.29488,-0.802482
1582297551599020,2.49066,0.410757,-0.666843
