timestamp,x,y,z,w
1582297620994684,-0.401855,0.805969,0.309204,-0.30542
1582297621017594,-0.401855,0.805969,0.309204,-0.30542
1582297621038530,-0.401917,0.806152,0.308838,-0.305298
1582297621054498,-0.401917,0.806152,0.308838,-0.305298
1582297621077434,-0.401917,0.806091,0.308838,-0.305481
1582297621098662,-0.401855,0.806091,0.308838,-0.305542
1582297621114386,-0.401855,0.806091,0.308838,-0.305542
1582297621137332,-0.401855,0.806091,0.308838,-0.305542
1582297621158415,-0.401855,0.806091,0.308838,-0.305542
1582297621175165,-0.401855,0.806091,0.308838,-0.305542
1582297621205085,-0.401855,0.806091,0.308777,-0.305481
1582297621220105,-0.401855,0.806091,0.308777,-0.305481
1582297621234008,-0.401855,0.806091,0.308777,-0.305481
1582297621257012,-0.402039,0.806091,0.308594,-0.305481
1582297621279952,-0.402039,0.806091,0.308594,-0.305481
1582297621294910,-0.401978,0.806091,0.308533,-0.305481
1582297621317784,-0.401917,0.80603,0.308716,-0.305664
1582297621346092,-0.401917,0.80603,0.308777,-0.305664
1582297621354685,-0.401917,0.805908,0.30896,-0.305725
1582297621377631,-0.401917,0.805847,0.309082,-0.305786
1582297621399817,-0.401917,0.805847,0.309082,-0.305786
1582297621414526,-0.401917,0.805725,0.309265,-0.305969
1582297621437469,-0.401917,0.805603,0.309326,-0.306213
1582297621459404,-0.402039,0.805359,0.309631,-0.306396
1582297621474365,-0.402161,0.804932,0.31012,-0.306763
1582297621497510,-0.402344,0.804321,0.310913,-0.307373
1582297621520249,-0.402161,0.803101,0.312988,-0.308655
1582297621534248,-0.4021,0.801697,0.315186,-0.31012
1582297621557359,-0.402222,0.800598,0.316711,-0.311279
1582297621580134,-0.402344,0.7995,0.318176,-0.3125
1582297621594050,-0.402893,0.798157,0.31958,-0.313782
1582297621602030,-0.403198,0.796997,0.321045,-0.314941
1582297621623148,-0.403809,0.796021,0.321777,-0.315735
1582297621644954,-0.405212,0.795471,0.321411,-0.315796
1582297621662055,-0.406616,0.794922,0.320923,-0.315918
1582297621682871,-0.407593,0.794373,0.320374,-0.316467
1582297621705640,-0.408447,0.793762,0.319946,-0.317444
