timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1582297430256184,-9,2,-1,-3,-1,2,3,-7
1582297430269022,3,-1,5,4,0,-14,-19,3
1582297430269022,17,8,0,-1,-1,3,4,3
1582297430278066,-9,6,2,1,-1,2,0,-5
1582297430278066,-4,-4,-1,1,1,-3,-3,-2
1582297430294100,6,-5,-8,-7,-4,3,9,0
1582297430294100,-2,4,0,2,1,2,1,-1
1582297430294952,-27,-8,0,0,1,1,2,-2
1582297430294952,33,8,6,1,-1,2,-1,3
1582297430314900,-1,-1,0,-3,-1,-2,2,-2
1582297430314900,-4,0,-2,-3,0,1,2,0
1582297430316889,-4,-6,-4,-1,-2,-2,2,4
1582297430316889,-12,-3,-2,-1,0,2,1,-5
1582297430328861,8,5,-1,-3,-1,3,5,1
1582297430328861,1,2,6,3,0,-6,-8,1
1582297430337837,4,0,3,1,4,10,4,2
1582297430337837,-6,-3,-3,-5,-4,-10,-9,-5
1582297430352842,5,3,1,0,2,0,0,1
1582297430352842,-6,2,-2,-3,-3,0,1,-3
1582297430353793,-3,-1,-1,-3,-1,1,3,1
1582297430353793,8,3,0,0,0,3,3,5
1582297430374953,0,1,-4,-2,-1,1,-2,-3
1582297430374953,-2,0,2,0,3,2,-4,-1
1582297430376738,3,1,0,0,0,-1,2,4
1582297430376738,-2,1,-1,-1,-1,1,-1,-1
1582297430388921,-5,1,3,2,1,-3,-4,4
1582297430388921,11,3,2,-1,-2,-4,-1,3
1582297430397688,3,0,-5,-2,-3,-5,-8,0
1582297430397688,-4,1,-2,-1,-2,-3,-3,-3
1582297430412638,-5,-3,1,2,-2,-2,-6,-7
1582297430412638,-4,1,1,1,-1,-1,-5,-1
1582297430413634,3,2,1,1,0,-2,0,-1
1582297430413634,-3,0,-4,-5,-3,-2,-4,-3
1582297430434722,-1,2,-2,0,-1,-5,-2,3
1582297430434722,-9,2,-3,1,-3,1,2,-3
1582297430436573,13,4,0,-2,-2,-4,-6,0
1582297430436573,0,2,1,3,2,0,2,6
1582297430448744,0,1,1,1,-2,-1,-3,0
1582297430448744,-9,-4,-4,-3,-4,-1,-3,-9
1582297430458136,-1,-1,0,-1,-2,-3,-2,1
1582297430458136,-3,-3,0,1,0,1,4,0
