timestamp,x,y,z
1582293993810638,2.4375,-2.375,-1.3125
1582293993825880,0.0625,-2.4375,-1.4375
1582293993856339,-0.9375,-3.4375,-1.75
1582293993870305,-2.3125,-3,-2.3125
1582293993886260,-5.5,-1.625,-2.5625
1582293993908205,-7.1875,0.125,-2.3125
1582293993931140,-6.375,1.1875,-1.9375
1582293993945108,-4.3125,2.5625,-1.6875
1582293993968134,-3.3125,3.75,-0.75
1582293993991034,-2.5,3.875,-0.0625
1582293994004950,0,3.5,0.6875
1582293994027932,1.9375,2.5625,1.1875
1582293994050825,2.125,1.1875,1.5625
1582293994064939,0.5,0.4375,1.4375
1582293994088738,-1.625,-0.375,0.875
1582293994111657,-3.6875,-0.625,0
1582293994125618,-4.125,-1.0625,-1.0625
1582293994148609,-5.5,-0.8125,-2.1875
1582293994170509,-6.5625,-0.0625,-2.6875
1582293994185458,-6.625,-0.0625,-3.125
1582293994208403,-6.5,0.25,-2.8125
1582293994230629,-6.875,0.5,-1.9375
1582293994245310,-5.9375,0.0625,-1.125
1582293994268419,-3.4375,-0.75,-0.125
1582293994291227,-0.9375,-1.125,0.875
1582293994312220,1.25,-1.125,2
1582293994328089,2.9375,-1.3125,2.625
1582293994351030,3.5625,-1.1875,2.875
1582293994372154,3,-0.8125,3.0625
1582293994388045,2.4375,-0.875,2.75
1582293994411045,2.1875,-0.875,1.5625
1582293994431941,1.25,-0.5,0.75
1582293994448756,-0.125,-0.375,-0.5
1582293994470713,-2,-0.375,-1.6875
1582293994492221,-3.375,-0.0625,-2.3125
1582293994508593,-3.6875,0.0625,-3.0625
1582293994530534,-3.5625,0.625,-2.875
1582293994551764,-3.0625,0.4375,-2.5
1582293994568434,-1.375,-0.5625,-2
1582293994590751,0.5,-1.25,-1
1582293994612315,1.6875,-1.1875,0.125
1582293994628284,2.8125,-0.875,0.875
1582293994651212,3.4375,-0.375,1.375
1582293994672537,3.4375,0,1.8125
1582293994688113,3.3125,0.0625,2.0625
1582293994711113,3.4375,0.0625,1.875
1582293994733053,2.8125,0,1.375
1582293994748035,1.5,0.125,0.9375
1582293994770946,0.125,0.25,0.25
1582293994793832,-0.75,0.1875,-0.5625
1582293994808793,-1.375,0,-0.9375
1582293994830739,-1.8125,0.1875,-1.25
1582293994853725,-2,0.625,-1.125
1582293994868633,-1.4375,0.6875,-0.9375
1582293994890584,-0.3125,0.5625,-0.6875
1582293994913511,0.125,-0.125,-0.3125
1582293994927734,0.4375,-1.125,-0.0625
1582293994958400,0.8125,-1.625,-0.0625
1582293994973357,1.0625,-1.3125,-0.0625
1582293994987465,0.3125,-0.8125,-0.125
1582293995011265,-0.25,-0.0625,-0.25
1582293995034189,-0.125,0.25,-0.375
1582293995048152,-0.0625,0.4375,-0.1875
1582293995071125,-0.4375,0.5,-0.1875
1582293995093131,-0.1875,0.4375,0.0625
1582293995108045,0.4375,0.1875,0.25
1582293995130932,0.75,0.0625,0.5
1582293995153052,0.5,0.25,0.5625
1582293995167857,0.4375,0,0.5
1582293995190997,0.8125,0.0625,0.3125
1582293995213708,0.625,0.0625,0.0625
1582293995234653,0.1875,-0.0625,-0.125
1582293995250611,0,-0.125,-0.25
1582293995273600,-0.3125,-0.375,-0.625
1582293995294862,-0.6875,-0.4375,-0.6875
1582293995310901,-0.625,-0.5,-0.8125
1582293995333598,-0.25,-0.5,-0.9375
1582293995354525,-0.25,-0.125,-0.5625
1582293995371286,-0.75,0.0625,-0.1875
1582293995393231,-0.125,-0.125,-0.1875
1582293995414384,0.3125,-0.25,-0.0625
1582293995431126,0.4375,-0.1875,0.25
1582293995453068,0.5,-0.3125,0.0625
1582293995474097,0.25,-0.125,-0.0625
1582293995491065,0.0625,0.1875,-0.0625
1582293995513079,0.1875,0.375,-0.0625
1582293995534962,0.125,0.375,-0.1875
1582293995550856,-0.4375,0.375,-0.625
1582293995573808,-0.625,0.0625,-0.5625
1582293995594895,-0.1875,0.125,-0.5625
1582293995610653,0.1875,-0.0625,-0.625
1582293995633583,-0.0625,-0.4375,-0.3125
1582293995655758,0.3125,-0.8125,-0.1875
1582293995670610,0.6875,-0.8125,-0.0625
1582293995693653,0.9375,-0.625,-0.0625
1582293995722455,0.9375,-0.375,-0.1875
1582293995731323,0.5,-0.4375,-0.375
1582293995753266,0.0625,-0.625,-0.5625
1582293995782316,-0.1875,-0.4375,-0.75
1582293995791218,-0.3125,-0.3125,-0.875
1582293995813103,-0.1875,-0.125,-0.875
1582293995836093,-0.1875,-0.125,-0.625
1582293995850011,-0.1875,-0.0625,-0.375
1582293995879924,0.125,-0.1875,-0.4375
1582293995895893,0.4375,-0.25,-0.25
1582293995909900,0.6875,-0.3125,-0.1875
1582293995933784,0.5,-0.375,-0.1875
1582293995955724,0.125,-0.375,-0.25
1582293995969870,-0.0625,-0.375,-0.3125
1582293995993687,0.0625,-0.5,-0.25
1582293996015639,0.1875,-0.4375,-0.375
1582293996030521,0,-0.375,-0.4375
1582293996053633,-0.25,-0.4375,-0.3125
1582293996076401,-0.1875,-0.5,-0.5
1582293996090413,-0.25,-0.75,-0.625
1582293996121279,-0.375,-0.6875,-0.625
1582293996136239,-0.3125,-0.4375,-0.75
1582293996157379,-0.125,-0.125,-0.5625
1582293996173142,-0.25,0.0625,-0.1875
1582293996196079,-0.6875,-0.0625,-0.125
1582293996217233,-0.5,-0.3125,-0.25
1582293996233090,0,-0.5,-0.125
1582293996255948,0.25,-0.5,-0.3125
1582293996277069,-0.125,-0.125,-0.375
1582293996293089,-0.4375,0.0625,-0.5
1582293996315765,-0.1875,0.25,-0.3125
1582293996336758,0.125,0.5625,-0.1875
1582293996353659,0.125,0.625,0.3125
1582293996375599,0.25,0.4375,0.625
1582293996397598,0.9375,0.375,0.5625
1582293996413496,1.8125,-0.3125,0.5625
1582293996435707,2.0625,-1.5625,0.375
1582293996457462,0.25,-2.375,-0.4375
1582293996473395,-1.75,-2.375,-1.0625
1582293996495414,-2.375,-1.75,-1.75
1582293996517416,-1.9375,-0.0625,-2.125
1582293996533179,-1.75,1.5625,-1.75
1582293996556114,-1.9375,2.5,-0.9375
1582293996577238,-1.3125,2.5625,0.1875
1582293996593315,0.25,1.8125,1.1875
1582293996615956,2.4375,1.0625,2
1582293996638086,3.625,0.25,2.3125
1582293996653080,4,-0.25,1.875
1582293996675857,2.875,-0.3125,1.3125
1582293996698735,1.6875,-0.4375,0.8125
1582293996713693,0.4375,-0.6875,0.0625
1582293996735687,-0.125,-0.5625,-0.625
1582293996758635,-0.75,-0.375,-1.25
1582293996772731,-0.875,-0.625,-1.125
1582293996795474,-0.5,-0.75,-0.6875
1582293996818416,0.25,-0.8125,-0.5
1582293996832375,0.625,-0.6875,0.0625
1582293996856314,1.3125,-0.5,0.6875
1582293996878314,1.8125,-0.75,0.75
1582293996893264,2.0625,-0.625,0.875
1582293996916151,1.75,-0.0625,1
1582293996921536,1.5625,0.375,0.9375
1582293996944086,0.875,0.375,1.3125
1582293996960172,0.4375,0.4375,1.125
1582293996981170,0.875,0,1.1875
1582293997004137,1.0625,-0.3125,1
1582293997019969,0.625,-0.1875,0.9375
1582293997041816,0.8125,-0.4375,0.4375
1582293997064125,-0.125,-0.875,0.0625
1582293997079717,-0.4375,-1.0625,0
1582293997101827,-0.0625,-0.375,-0.0625
1582293997131716,0.125,0.6875,0.1875
1582293997140551,0.125,1.375,0.875
1582293997168535,0.5,1.0625,1.3125
1582293997183649,0.75,0.3125,1.4375
1582293997200621,1.75,-0.125,1.375
1582293997221544,2,-1,0.3125
1582293997243486,0,-2.4375,-1.3125
1582293997260294,-4.375,-3.6875,-2.875
1582293997281371,-6.75,-3.125,-3.5625
1582293997304324,-5.875,-0.8125,-3.6875
1582293997320347,-3.4375,2.5,-3.0625
1582293997341161,-0.5,4.1875,-1.3125
1582293997364167,2.0625,3.875,1.125
1582293997379911,3.875,2.8125,3.25
1582293997401081,5.4375,0.875,4.0625
1582293997424143,5.75,-1.5,4.25
1582293997439967,5.5,-2.75,3.375
1582293997461105,5,-3.5,1.75
1582293997483630,2.9375,-3,0.4375
1582293997499594,0.3125,-1.6875,-0.6875
1582293997521537,-2.375,-0.125,-1.625
1582293997543970,-3.5625,1.125,-1.9375
1582293997561484,-2.875,1.3125,-2
1582293997581588,-2.5,0.5625,-1.75
